[XFC_DATALOGGER_HEADER];;;;;;;;;;
CULTURE;pt-BR;;;;;;;;;
SOFTWARE_VERSION;V2.1.1;;;;;;;;;
DATETIME;2024-12-25T15:12:28;;;;;;;;;
USERNAME;Novaes Engenharia;;;;;;;;;
CG_NUMBER;CG110C1R00;;;;;;;;;
CONVERTER_ELECTRONICS;IFC050;;;;;;;;;
ELECTRONIC_SERIAL_NUMBER;106479269;;;;;;;;;
LOG_START_TIME;2024-02-05T16:20:36;;;;;;;;;
[XFC_DATALOGGER_DATA];;;;;;;;;;
Time;Operating Time;Current Output A;Counter1 Display IO;Counter 2;Flow Speed;Volume Flow;Mass Flow;Coil Temperature;Conductivity;Diagnosis 1
Time;Operating Time;Current Output A;Counter1 Display IO;Counter 2;Flow Speed;Volume Flow;Mass Flow;Coil Temperature;Conductivity;Diagnosis 1
4,425215;;;;;;49,6390354;;;;
4,42882;;10,1366322;;;0,783029914;;49639,0354;1433,14871;;
4,478575;;;;;;49,8142038;;;;
4,48218;;10,1366835;122799,805;;0,787695646;;49814,2021;;202,915277;
4,545875;;;;;;50,1110271;;;;
4,54948;147406,75;10,136731;;-3,36264221;0,788919449;;50111,0287;;;
4,583855;;;;;;50,1888815;;;;
4,58746;;10,1367822;;;0,789072394;;50188,8805;1433,95632;;2,29400015
4,626155;;;;;;50,1986112;;;;
4,62976;;10,136825;;;0,790066779;;50198,6103;;202,941876;
4,679275;;;;;;50,2618711;;;;
4,68264;;10,1369061;;;0,78608942;;50261,871;1433,45156;;
4,73696;;;;;;50,0088416;;;;
4,740565;147406,75;10,1369806;122799,809;-3,36264221;0,779970467;;50008,8421;;203,227997;
4,800655;;;;;;49,6195726;;;;
4,80426;;;;;0,778440714;;49619,5724;;;
4,82397;;;;;;49,522252;;;;
4,827575;;10,1370886;;;0,779587984;;49522,2507;1435,06667;;2,29400015
4,879975;;;;;;49,5952383;;;;
4,88358;;10,1371305;;;0,782571018;;49595,2377;;203,540046;
4,93333;;;;;;49,7850113;;;;
4,936935;;10,1371696;122799,811;;0,785171568;;49785,0128;1432,84597;;
4,98693;;;;;;49,9504499;;;;
4,990535;147406,767;10,1372153;;-3,36264221;0,783412397;;49950,4498;;;
5,02467;;;;;;49,8385381;;;;
5,028275;;10,13726;;;0,778517187;;49838,5368;;203,834083;
5,077545;;;;;;49,5271169;;;;
5,08115;;10,1373214;;;0,776146114;;49527,1156;1435,21804;;2,29400015
5,13331;;;;;;49,3762761;;;;
5,136915;;10,1373512;;;0,780429363;;49376,2768;;203,806795;
5,177055;;;;;;49,6487651;;;;
5,18066;147406,767;10,1373876;122799,815;-3,36264221;0,785859942;;49648,7652;;;
5,238345;;;;;;49,9942437;;;;
5,24195;;10,1374099;;;0,785706997;;49994,244;1434,91531;;
5,277765;;;;;;49,984514;;;;
5,28137;;10,1374332;;;0,784253716;;49984,5142;;204,04892;
5,331365;;;;;;49,8920582;;;;
5,33473;;10,1374565;;;0,782571018;;49892,0574;1433,14871;;2,29400015
5,373185;;;;;;49,7850113;;;;
5,37679;;10,1374853;122799,817;;0,778364241;;49785,0128;;;
5,42462;;;;;;49,5173872;;;;
5,428225;147406,767;10,1375114;;-3,36264221;0,777216911;;49517,3859;;204,044636;
5,47846;;;;;;49,4443975;;;;
5,482065;;10,1375449;;;0,781117737;;49444,3989;1433,60293;;
5,53206;;;;;;49,6925589;;;;
5,535665;;10,1375571;;;0,785248041;;49692,5594;;203,904863;
5,57148;;;;;;49,9553148;;;;
5,575085;;10,1375673;122799,82;;0,783947766;;49955,3146;1435,36953;;2,29400015
5,641185;;;;;;49,8725954;;;;
5,64479;147406,767;10,1375841;;-3,36264221;0,782418013;;49872,5945;;;
5,67892;;;;;;49,7752782;;;;
5,682525;;10,1375952;;;0,783565342;;49775,2796;;203,626137;
5,71882;;;;;;49,8482678;;;;
5,722425;;10,1376045;;;0,779052615;;49848,2666;1434,41055;;
5,77194;;;;;;49,5611809;;;;
5,775545;;10,1376195;;;0,777828813;;49561,1801;;203,743279;
5,829865;;;;;;49,4833264;;;;
5,83323;147406,783;10,137625;122799,824;-3,36264221;0,785630524;;49483,3248;1435,06667;;2,29299998
5,896445;;;;;;49,9796491;;;;
5,90005;;;;;0,789607823;;49979,6494;;;
5,92;;;;;;50,2326719;;;;
5,923365;;10,1376269;;;0,788919449;;50232,6714;;203,620307;
5,973355;;;;;;50,1888815;;;;
5,976965;;10,1376306;;;0,789990246;;50188,8805;1434,25906;;
6,026235;;;;;;50,2570029;;;;
6,02984;;10,1376381;122799,826;;0,790525675;;50257,0026;;203,340128;2,29400015
6,08248;;;;;;50,2910636;;;;
6,086085;147406,783;10,1376558;;-3,36264221;0,787542701;;50291,0637;;;
6,120455;;;;;;50,1012973;;;;
6,12406;;10,1376716;;;0,784177244;;50101,2989;1431,3821;;
6,173575;;;;;;49,8871934;;;;
6,17718;;10,1377023;;;0,782265067;;49887,1925;;203,54921;
6,226695;;;;;;49,7655485;;;;
6,2303;;10,13772;;;0,779740989;;49765,5499;1433,14871;;
6,27068;;;;;;49,6049713;;;;
6,274285;147406,783;10,1377442;122799,83;-3,36264221;0,776758015;;49604,9709;;;2,29400015
6,334135;;;;;;49,415205;;;;
6,33774;;10,1377591;;;0,779358566;;49415,2061;;203,524362;
6,37379;;;;;;49,5806437;;;;
6,377155;;10,1377685;;;0,786165893;;49580,6431;1434,91531;;
6,42715;;;;;;50,0137065;;;;
6,430755;;10,1377722;;;0,785936415;;50013,707;;203,664955;
6,46633;;;;;;49,9991085;;;;
6,469935;;10,1377787;122799,833;;0,781729639;;49999,1089;;;
6,517525;;;;;;49,7314844;;;;
6,52113;147406,783;10,137789;;-3,36264221;0,780811787;;49731,4854;1433,95632;;2,29400015
6,57377;;;;;;49,6730927;;;;
6,577375;;10,1377973;;;0,779511511;;49673,093;;203,693341;
6,62713;;;;;;49,5903734;;;;
6,630735;;10,1378001;;;0,780429363;;49590,3728;1435,06667;;
6,666305;;;;;;49,6487651;;;;
6,66991;;10,1378001;122799,835;;0,784100771;;49648,7652;;203,696731;
6,733845;;;;;;49,8823285;;;;
6,737455;147406,783;10,1377964;;-3,36264221;0,78234154;;49882,3277;;;
6,771585;;;;;;49,7704133;;;;
6,77519;;10,1377927;;;0,779664516;;49770,4147;1433,95632;;2,29400015
6,813165;;;;;;49,6001065;;;;
6,81677;;10,137789;;;0,782188594;;49600,106;;203,382093;
6,866525;;;;;;49,7606836;;;;
6,87013;;10,1377759;;;0,784024239;;49760,685;1433,45156;;
6,92397;;;;;;49,8774603;;;;
6,927575;147406,8;10,1377647;122799,839;-3,36264221;0,781959116;;49877,4593;;203,169063;
6,987665;;;;;;49,7460824;;;;
6,99127;;10,1377545;;;0,780276418;;49746,0835;;;2,29400015
7,027325;;;;;;49,6390354;;;;
7,03093;;10,1377461;;;0,782265067;;49639,0354;1433,30007;;
7,06674;;;;;;49,7655485;;;;
7,070345;;10,137734;;;0,782876968;;49765,5499;;203,407761;
7,11986;;;;;;49,804474;;;;
7,123465;;10,1377219;122799,842;;0,77889961;;49804,4724;1434,76394;;
7,17322;;;;;;49,5514479;;;;
7,177065;147406,8;10,1377033;;-3,36264221;0,778364241;;49551,4469;;;
7,211195;;;;;;49,5173872;;;;
7,2148;;10,1376837;;;0,786777794;;49517,3859;;203,17642;2,29400015
7,26648;;;;;;50,0526354;;;;
7,270085;;10,1376558;;;0,792743802;;50052,6363;1435,06667;;
7,32008;;;;;;50,4321747;;;;
7,323685;;10,1376362;;;0,786242366;;50432,1762;;202,701427;
7,363825;;;;;;50,0185713;;;;
7,36743;147406,8;10,1376232;122799,845;-3,36264221;0,779282033;;50018,5719;;;
7,425115;;;;;;49,5757755;;;;
7,42872;;10,137612;;;0,779052615;;49575,7748;1433,45156;;
7,464535;;;;;;49,5611809;;;;
7,46814;;10,137599;;;0,779052615;;49561,1801;;202,326644;2,29400015
7,519815;;;;;;49,5611809;;;;
7,52342;;10,1375887;;;0,781270742;;49561,1801;1432,54312;;
7,559715;;;;;;49,7022919;;;;
7,56332;;10,1375673;122799,848;;0,785477519;;49702,2926;;;
7,61163;;;;;;49,969916;;;;
7,615235;147406,8;10,1375412;;-3,36264221;0,785859942;;49969,9162;;202,702936;
7,66523;;;;;;49,9942437;;;;
7,668835;;10,1375105;;;0,782876968;;49994,244;1435,52102;;
7,71859;;;;;;49,804474;;;;
7,722195;;10,1374965;;;0,781959116;;49804,4724;;202,847216;2,29400015
7,760895;;;;;;49,7460824;;;;
7,7645;;10,1374807;122799,85;;0,788689971;;49746,0835;1433,45156;;
7,828195;;;;;;50,1742836;;;;
7,83156;147406,817;10,1374537;;-3,36264221;0,794961929;;50174,2825;;;
7,86593;;;;;;50,5732857;;;;
7,869535;;10,1374369;;;0,789760828;;50573,2853;;202,979576;
7,91905;;;;;;50,2424084;;;;
7,922655;;10,1374304;;;0,780735314;;50242,408;1434,91531;;
7,958465;;;;;;49,6682279;;;;
7,96207;;10,1374248;;;0,777446389;;49668,2281;;202,812888;2,29400015
8,018315;;;;;;49,4589955;;;;
8,02192;147406,817;10,1374155;122799,854;-3,36264221;0,780199885;;49458,997;1433,14871;;
8,08225;;;;;;49,6341672;;;;
8,085615;;10,1374052;;;0,787466168;;49634,1671;;;
8,119265;;;;;;50,0964258;;;;
8,12287;;10,1373922;;;0,791596472;;50096,4272;;202,586912;
8,158685;;;;;;50,359185;;;;
8,16253;;10,1373829;;;0,787695646;;50359,1858;1433,65347;;
8,212045;;;;;;50,1110271;;;;
8,21565;;10,1373773;122799,857;;0,781882644;;50111,0287;;202,900879;2,29775
8,268045;;;;;;49,7412175;;;;
8,27165;147406,817;10,1373754;;-3,36264221;0,775534213;;49741,2186;;;
8,306025;;;;;;49,3373506;;;;
8,30963;;10,1373727;;;0,771327376;;49337,3508;1434,10769;;
8,35914;;;;;;49,0697231;;;;
8,36275;;10,1373577;;;0,776910961;;49069,7239;;203,19432;
8,41226;;;;;;49,4249348;;;;
8,415865;;10,1373335;;;0,785324574;;49424,9359;1433,45156;;
8,455765;;;;;;49,9601863;;;;
8,45937;147406,817;10,1373084;122799,86;-3,36264221;0,786777794;;49960,1864;;;2,29462504
8,51946;;;;;;50,0526354;;;;
8,523065;;10,137286;;;0,782418013;;50052,6363;;203,294735;
8,55912;;;;;;49,7752782;;;;
8,562725;;10,1372693;;;0,781041265;;49775,2796;1432,99734;;
8,612;;;;;;49,687694;;;;
8,615605;;10,1372367;;;0,785630524;;49687,6945;;203,236751;
8,669925;;;;;;49,9796491;;;;
8,67353;147406,817;10,1372078;122799,863;-3,36264221;0,785095096;;49979,6494;1432,84597;;2,29400015
8,73578;;;;;;49,9455851;;;;
8,739385;;;;;0,783182919;;49945,5849;;;
8,758855;;;;;;49,8239402;;;;
8,76246;;10,1371724;;;0,787313223;;49823,9388;;202,790797;
8,812215;;;;;;50,0866961;;;;
8,81582;;10,1371557;;;0,789913774;;50086,6974;1435,06667;;
8,865575;;;;;;50,2521381;;;;
8,86894;;10,1371408;122799,866;;0,79152;;50252,1378;;202,142913;
8,919175;;;;;;50,3543202;;;;
8,92278;147406,833;10,1371258;;-3,36264221;0,791367054;;50354,3209;;;
8,95691;;;;;;50,3445905;;;;
8,960515;;10,1371203;;;0,786701322;;50344,5911;1431,53359;;2,29400015
9,01195;;;;;;50,0477705;;;;
9,01556;;10,1371231;;;0,78348887;;50047,7715;;203,016289;
9,066515;;;;;;49,843403;;;;
9,07012;;10,1371258;;;0,783259392;;49843,4017;1435,06667;;
9,11026;;;;;;49,828805;;;;
9,113865;147406,833;10,1371277;122799,869;-3,36264221;0,785018623;;49828,8036;;;
9,17155;;;;;;49,9407202;;;;
9,175155;;10,1371314;;;0,78578347;;49940,72;;203,251261;
9,21073;;;;;;49,9893788;;;;
9,214335;;10,1371333;;;0,781959116;;49989,3791;1433,80483;;2,29400015
9,25255;;;;;;49,7460824;;;;
9,256155;;10,137137;;;0,779664516;;49746,0835;;202,785004;
9,30519;;;;;;49,6001065;;;;
9,308795;;10,1371408;122799,872;;0,783182919;;49600,106;1435,06667;;
9,35903;;;;;;49,8239402;;;;
9,362635;147406,833;10,1371398;;-3,36264221;0,787389696;;49823,9388;;;
9,410465;;;;;;50,0915609;;;;
9,41407;;10,1371398;;;0,789607823;;50091,5623;;202,355329;
9,450125;;;;;;50,2326719;;;;
9,45373;;10,1371408;;;0,790831625;;50232,6714;1434,91531;;2,29400015
9,505885;;;;;;50,3105298;;;;
9,50949;;10,1371482;;;0,788919449;;50310,5301;;202,200059;
9,54987;;;;;;50,1888815;;;;
9,553475;147406,833;10,1371594;122799,875;-3,36264221;0,785171568;;50188,8805;;;
9,611165;;;;;;49,9504499;;;;
9,61477;;10,1371761;;;0,783641815;;49950,4498;1434,41055;;
9,6513;;;;;;49,8531327;;;;
9,65491;;10,1371901;;;0,781041265;;49853,1315;;201,769117;
9,70442;;;;;;49,687694;;;;
9,708025;;10,1372134;;;0,777522862;;49687,6945;1435,36953;;2,29400015
9,76475;;;;;;49,4638603;;;;
9,768355;147406,833;10,1372283;122799,878;-3,36264221;0,779970467;;49463,8618;;202,371478;
9,828205;;;;;;49,6195726;;;;
9,83181;;;;;0,786777794;;49619,5724;;;
9,85128;;;;;;50,0526354;;;;
9,854885;;10,1372357;;;0,788231075;;50052,6363;1434,76394;;
9,9044;;;;;;50,1450878;;;;
9,908005;;10,1372432;;;0,784330189;;50145,0863;;202,98725;
9,957275;;;;;;49,8969231;;;;
9,96088;;10,1372534;122799,881;;0,785477519;;49896,9223;1433,14871;;2,29375005
10,01328;;;;;;49,969916;;;;
10,016885;147406,85;10,1372637;;-3,36264221;0,79152;;49969,9162;;;
10,051255;;;;;;50,3543202;;;;
10,05462;;10,1372767;;;0,797027111;;50354,3209;;203,618109;
10,104375;;;;;;50,704667;;;;
10,10798;;10,1373075;;;0,798633337;;50704,668;1434,41055;;
10,157495;;;;;;50,8068524;;;;
10,1611;;10,1373345;;;0,793432176;;50806,8512;;203,501638;
10,201;;;;;;50,4759684;;;;
10,204605;147406,85;10,1373866;122799,884;-3,36264221;0,789301872;;50475,967;;;2,29400015
10,264455;;;;;;50,2132092;;;;
10,26806;;10,1374276;;;0,786777794;;50213,2084;1434,61245;;
10,30387;;;;;;50,0526354;;;;
10,307235;;10,1374704;;;0,78004694;;50052,6363;;203,074012;
10,35651;;;;;;49,6244375;;;;
10,360115;;10,1375151;;;0,777522862;;49624,4373;1434,76394;;
10,39617;;;;;;49,4638603;;;;
10,399775;;10,137558;122799,887;;0,781500161;;49463,8618;;;
10,447365;;;;;;49,7168865;;;;
10,45097;147406,85;10,137612;;-3,36264221;0,781882644;;49716,8873;;202,390477;2,29400015
10,50361;;;;;;49,7412175;;;;
10,507215;;10,1376697;;;0,777522862;;49741,2186;1434,25906;;
10,55673;;;;;;49,4638603;;;;
10,560335;;10,1377014;;;0,777828813;;49463,8618;;201,913044;
10,596625;;;;;;49,4833264;;;;
10,60023;;10,1377331;122799,89;;0,783106446;;49483,3248;1436,58083;;
10,663925;;;;;;49,819072;;;;
10,66729;147406,85;10,1377601;;-3,36264221;0,783947766;;49819,0704;;;
